Wall time,Step,Value
1784150609.2660499,0,340.0
1784151778.8022754,8673,60.0
1784152873.9052277,17123,60.0
1784153950.8562675,25507,60.0
1784155033.5490785,33955,60.0
1784156445.88394,43339,172.0
1784157617.991208,52157,238.0
1784158981.3234546,61061,507.0
1784160438.6025305,72347,812.0
1784161908.2514079,85213,919.0
1784163387.6664183,98809,1193.0
1784164948.221556,112963,1142.0
1784166542.144636,127097,1345.0
1784168133.8505464,141889,1433.0
1784169825.3128676,158937,1487.0
1784171551.5942,175549,1537.0
1784173302.5593026,192551,1712.0
1784175125.6143208,210149,1606.0
1784176800.800188,227611,1750.0
1784178480.4742897,244473,1841.0
1784180292.8079083,262161,1822.0
1784181969.278372,279143,1195.0
1784183701.6338146,296987,1875.0
1784185512.7309604,314071,1802.0
1784187274.2965255,330971,1985.0
1784188961.895147,347785,2052.0
1784190628.288088,363925,1953.0
1784192324.5857105,379731,2005.0
1784194043.4043803,396285,2072.0
1784195809.7782469,413255,1955.0
1784197485.33997,430237,2130.0
1784199255.6851993,447687,2097.0
1784200964.222145,464797,1942.0
1784202883.6793587,482491,2018.0
1784204654.9828444,500293,2041.0
1784206411.1805956,517273,2267.0
1784208159.8755105,533809,2101.0
1784209898.5691686,550281,2043.0
1784211693.9565523,567553,2070.0
1784213484.382335,585117,2220.0
1784215261.9264016,602307,2225.0
1784216957.8449218,619543,2174.0
1784218672.6014795,636433,2154.0
1784220386.5986822,652737,2070.0
1784222172.287975,669951,2259.0
1784223873.2645879,686233,2043.0
1784225573.4019346,701873,2024.0
1784227254.3325622,717307,1634.0
1784228933.9553478,734169,1798.0
1784230703.123139,751267,1925.0
1784232516.146354,766759,2027.0
1784234293.4356644,782505,1851.0
1784236009.283872,798773,2228.0
1784237691.4469066,813831,2334.0
1784239451.4672945,829473,2172.0
1784241261.2931602,844669,2032.0
1784243094.0680265,860713,1887.0
1784244721.4494228,876337,1902.0
1784246367.2193022,891821,1752.0
1784248077.8624768,907851,1802.0
1784249915.1391046,925031,1780.0
1784251550.9779184,940279,1705.0
1784253226.7628744,955959,1774.0
1784254857.588578,970887,1094.0
1784256675.2259452,986597,1610.0
1784258265.8702142,1000703,1600.0
1784259950.9074252,1016049,1391.0
1784261799.1514916,1033505,1664.0
1784263526.7356482,1050977,1332.0
1784265213.965612,1066037,1741.0
1784266896.6018183,1081427,1488.0
1784268574.2207308,1096093,1871.0
1784270221.0983186,1111763,1764.0
1784271929.7309656,1126737,1720.0
1784273600.454931,1142091,1509.0
1784275249.7777042,1156451,1404.0
1784277043.3950999,1171535,1284.0
1784278741.0587137,1185709,1248.0
1784280426.4494858,1201377,1612.0
1784282111.7746916,1217153,1526.0
1784283741.546506,1231937,1488.0
1784285468.498955,1248469,1846.0
1784287189.0507987,1263819,1697.0
1784288809.9247887,1277081,1532.0
1784290663.3577366,1293121,1805.0
1784292231.065761,1307315,1553.0
1784293946.151943,1322661,1569.0
1784295635.0410469,1337509,1422.0
