Wall time,Step,Value
1783012256.5490978,0,-21.0
1783013013.6970599,13779,-21.0
1783013754.1280956,26570,-21.0
1783014504.1908867,39142,-21.0
1783015269.2579565,52039,-21.0
1783016016.0882778,64527,-21.0
1783016787.604591,78256,-21.0
1783017546.0943367,91239,-21.0
1783018331.6798718,106404,-21.0
1783019105.1906574,119409,-21.0
1783019884.3114426,133217,-21.0
1783020656.236732,147178,-21.0
1783021439.6332207,161532,-21.0
1783022222.4794612,175863,-21.0
1783023067.9403996,190116,-21.0
1783023863.8652468,206312,-21.0
1783024667.5236142,223172,-21.0
1783025525.5047815,241918,-21.0
1783026381.9045095,262378,-21.0
1783027253.2645185,286121,-21.0
1783028080.2258997,308032,-21.0
1783029235.0895953,339114,-13.333333015441895
1783030608.8042512,393924,-9.0
1783031872.426221,466005,-21.0
1783033127.05786,509964,-14.333333015441895
1783034319.5525796,571353,-21.0
1783035606.099206,617673,-1.0
1783037139.560556,697358,2.0
1783038664.6815307,759172,6.666666507720947
1783039852.0342448,791429,6.0
1783041033.5544586,822621,4.0
1783042254.4627924,857986,12.333333015441895
1783043423.5298562,890612,7.333333492279053
1783044492.3924098,921132,20.66666603088379
1783045717.8803463,957205,18.66666603088379
1783046977.465959,996206,14.333333015441895
1783048268.3588178,1035425,14.0
1783049292.4324408,1066931,20.66666603088379
1783050317.5649495,1098444,20.33333396911621
1783051421.3070967,1134336,21.0
