Wall time,Step,Value
1785632004.165781,0,65.0
1785632052.4272616,21429,423.0
1785632097.3604057,44371,70.0
1785632140.866879,65589,547.0
1785632183.31915,86791,519.0
1785632228.6273248,108189,636.0
1785632275.0734406,130782,1015.0
1785632320.5888157,153613,644.0
1785632366.3389192,176708,966.0
1785632411.5675888,198954,1309.0
1785632456.7849822,221399,1538.0
1785632502.1572104,243762,1334.0
1785632548.968361,267431,622.0
1785632596.1725717,290634,2156.0
1785632643.3085425,312271,1856.0
1785632690.2784212,335409,1485.0
1785632734.7867591,358422,1457.0
1785632781.8888946,382152,1444.0
1785632827.6110795,404986,1440.0
1785632872.1473322,427954,1619.0
1785632917.669364,452317,1580.0
1785632964.9626715,474680,1677.0
1785633009.8846564,497919,1664.0
1785633055.8270807,520712,1672.0
1785633104.5688357,544085,1558.0
1785633158.7569134,567956,1674.0
1785633206.8329685,590688,1594.0
1785633258.1806247,614274,1465.0
1785633306.2027178,636969,1470.0
1785633356.2511904,660919,1419.0
1785633406.2589054,683097,1468.0
1785633455.6380434,705788,1763.0
1785633507.171196,728872,1488.0
1785633559.488958,751955,1635.0
1785633609.2477188,775254,1530.0
1785633660.395238,797866,1528.0
1785633710.9571142,822294,1621.0
1785633762.0884404,846209,1544.0
1785633812.9298365,868638,1705.0
1785633865.8515358,891841,1578.0
1785633916.5985882,913679,1745.0
1785633968.2967148,936306,1836.0
1785634021.7340124,959008,1903.0
1785634071.4118671,981079,1746.0
1785634118.527324,1003416,1939.0
