Wall time,Step,Value
1785699142.2572896,0,60.0
1785699244.373406,16991,478.0
1785699350.102328,34028,584.0
1785699454.495373,51023,823.0
1785699558.8710852,67925,1015.0
1785699658.8878994,85124,902.0
1785699762.080034,102312,1891.0
1785699869.2303557,119251,2107.0
1785699973.4814835,136296,1560.0
1785700078.585691,153343,1403.0
1785700186.4977202,170511,1723.0
1785700288.4399137,187603,1385.0
1785700391.4090922,204664,1275.0
1785700494.0522735,221664,1994.0
1785700591.9428623,238517,1272.0
1785700692.6943643,255478,1512.0
1785700795.466035,272317,974.0
1785700900.2801776,289140,2195.0
1785701001.8096185,306235,996.0
1785701104.6237288,323164,1102.0
1785701206.5813706,340297,1717.0
1785701308.6126754,357333,1482.0
1785701409.4764555,374314,1597.0
1785701517.4458675,391172,1772.0
1785701618.6340578,408140,1604.0
1785701723.373775,425008,1362.0
1785701832.7540622,442056,1536.0
1785701933.9208212,459160,1888.0
1785702041.3024378,476556,1757.0
1785702147.855858,493461,2084.0
1785702253.8475747,510493,968.0
1785702359.8223522,527613,1934.0
1785702464.5495696,544567,1594.0
1785702569.1400988,561422,2648.0
1785702675.6102858,578236,1255.0
1785702777.4830937,595222,1745.0
1785702884.9281738,612487,1371.0
1785702987.8876586,629492,2004.0
1785703091.5985732,646433,2110.0
1785703194.283279,663388,1997.0
1785703291.7826629,680446,1479.0
1785703396.3558016,697416,1516.0
1785703500.2141662,714383,1732.0
1785703605.9237995,731388,1894.0
1785703707.9535778,748645,2460.0
1785703810.1274538,765531,1646.0
1785703915.0893667,782421,2047.0
1785704018.7211359,799205,1934.0
1785704127.5522428,816091,1806.0
1785704233.956811,833225,1974.0
1785704334.8420472,850023,1667.0
1785704439.309601,866948,2411.0
1785704546.939362,884113,2038.0
1785704651.3327918,902507,1920.0
1785704759.166841,919384,2413.0
1785704863.7914863,936538,1584.0
1785704968.1178918,953735,1394.0
1785705071.291944,970725,1720.0
1785705176.6370196,987591,1970.0
1785705286.385178,1004531,1199.0
