Wall time,Step,Value
1785884158.156737,0,8.899999618530273
1785884206.4628568,541,9.399999618530273
1785884249.1708512,901,9.899999618530273
1785884288.6358073,1258,14.800000190734863
1785884339.9696503,1616,32.099998474121094
1785884382.205275,2041,11.399999618530273
1785884422.1595984,2325,11.600000381469727
1785884458.8635876,2673,16.200000762939453
1785884497.3039024,2993,14.100000381469727
1785884545.2075117,3443,22.899999618530273
1785884624.4284632,4139,61.0
1785884697.8664868,4878,76.4000015258789
1785884826.5480876,6105,138.89999389648438
1785884978.70787,7511,164.1999969482422
1785885146.882281,8604,196.8000030517578
1785885286.5117853,9845,194.5
1785885449.7273316,11694,216.60000610351562
1785885627.255546,14181,232.5
1785885873.6805522,16684,241.3000030517578
1785886057.7752502,18721,206.60000610351562
1785886199.8058305,20307,178.3000030517578
1785886363.738874,22018,231.60000610351562
1785886523.0568676,23645,203.10000610351562
1785886659.055407,25017,192.6999969482422
1785886830.4923239,26450,231.89999389648438
1785886987.433158,27866,220.39999389648438
1785887148.201115,29960,203.1999969482422
1785887320.8578577,31848,249.0
1785887541.0465646,33969,279.3999938964844
1785887727.7548423,36152,236.0
1785887925.273656,38701,262.3999938964844
1785888132.9315066,40816,289.5
1785888299.7896972,42883,235.6999969482422
1785888462.0378778,44705,237.0
1785888635.5300722,46055,253.39999389648438
1785888849.3118494,47908,464.79998779296875
1785888994.9309688,49755,191.1999969482422
1785889239.8657758,51889,348.8999938964844
1785889421.1090643,54415,220.5
1785889556.5569952,56193,162.89999389648438
1785889700.3023627,58312,189.60000610351562
1785889832.0416985,60128,202.39999389648438
1785889974.3500962,62181,198.0
1785890200.2262158,64744,414.1000061035156
1785890410.7624643,66754,450.29998779296875
1785890656.0311456,69416,353.1000061035156
1785890919.5257835,72485,474.70001220703125
1785891146.9093363,74630,421.29998779296875
1785891389.3427243,76630,250.5
1785891588.035736,78566,237.8000030517578
1785891874.6067927,81017,349.3999938964844
1785892088.3121245,82799,500.0
1785892311.730518,84808,304.79998779296875
1785892496.7604046,86671,193.3000030517578
1785892720.783897,88695,222.6999969482422
1785892889.7570279,90852,170.8000030517578
1785893030.1539304,92725,169.3000030517578
1785893185.3464234,94858,196.1999969482422
1785893347.4028416,97018,196.60000610351562
1785893535.0492644,99220,202.8000030517578
