Wall time,Step,Value
1785953240.6025147,0,11.800000190734863
1785953242.6205237,4480,65.0999984741211
1785953245.0852294,9096,306.29998779296875
1785953247.2839339,13096,450.3999938964844
1785953249.235032,17088,334.70001220703125
1785953251.2257707,20920,363.70001220703125
1785953253.2487876,24984,387.5
1785953255.2292774,28944,379.8999938964844
1785953257.287033,32944,441.70001220703125
1785953259.205614,36736,446.20001220703125
1785953261.0191243,40584,382.29998779296875
1785953262.8862476,44816,338.5
1785953264.9859529,48864,485.29998779296875
1785953266.9967062,53144,415.6000061035156
1785953268.9179952,57144,445.5
1785953270.9583526,61280,431.3999938964844
1785953273.0472746,65448,395.5
1785953275.1183493,69464,411.20001220703125
1785953276.9161527,73568,243.39999389648438
1785953278.9001327,77952,362.6000061035156
1785953280.8569043,81912,339.29998779296875
1785953282.8425643,86648,247.1999969482422
1785953284.9658427,91336,366.29998779296875
1785953286.79893,95704,225.3000030517578
