Wall time,Step,Value
1786851214.2552269,0,-200.0
1786851591.3064475,16000,-198.3000030517578
1786851963.1037264,32000,-171.10000610351562
1786852335.1755142,48000,-162.89999389648438
1786852721.1270168,64000,-186.0
1786853105.342922,80000,-161.10000610351562
1786853486.3483472,96000,-150.1999969482422
1786853861.9477172,111852,-159.89999389648438
1786854242.8055165,127657,-161.60000610351562
1786854609.092785,143212,-154.39999389648438
1786854980.2676673,158740,-121.5
1786855363.9051902,174165,-123.80000305175781
1786855753.8981924,189470,-117.4000015258789
