Wall time,Step,Value
1786917765.231095,0,-200.0
1786917777.2269049,3200,-200.0
1786917787.6761274,6400,-200.0
1786917799.662736,9600,-200.0
1786917810.6436749,12800,-200.0
1786917822.4655492,16000,-200.0
1786917830.621877,19200,-200.0
1786917839.1162493,22400,-200.0
1786917847.8687758,25600,-200.0
1786917858.0250757,28800,-200.0
1786917869.4557853,32000,-200.0
1786917878.4278326,35200,-200.0
1786917887.1402476,38400,-200.0
1786917895.921647,41600,-200.0
1786917904.1145709,44800,-200.0
1786917913.8456984,48000,-200.0
1786917923.0793643,51200,-200.0
1786917932.8273914,54400,-200.0
1786917941.1932104,57600,-200.0
1786917951.0889013,60800,-200.0
1786917959.7563274,64000,-200.0
1786917968.0853848,67200,-200.0
1786917978.9257085,70400,-200.0
1786917987.677401,73600,-200.0
1786917996.6186395,76800,-200.0
1786918005.2430582,80000,-200.0
1786918013.5776556,83200,-200.0
1786918024.6552286,86400,-200.0
1786918036.5813897,89600,-188.6999969482422
1786918047.6471763,92800,-183.5
1786918059.186115,96000,-167.60000610351562
1786918068.7075715,99200,-148.0
1786918076.659217,102352,-129.39999389648438
1786918085.4140863,105176,-132.39999389648438
1786918092.8456194,107920,-125.5999984741211
1786918101.5185928,110592,-123.80000305175781
1786918110.4241967,113272,-125.5
1786918118.7450168,115800,-134.0
1786918126.6325157,118504,-139.8000030517578
1786918134.7635014,120904,-138.60000610351562
1786918142.888971,123528,-123.4000015258789
1786918150.8781781,126152,-122.0999984741211
1786918158.4967852,128704,-121.0999984741211
1786918166.0707812,131184,-122.30000305175781
1786918175.095518,133728,-119.5
1786918183.4892728,136248,-121.5
1786918191.609159,138656,-121.0
1786918200.520362,141256,-116.30000305175781
1786918209.766753,143696,-127.0999984741211
1786918218.3687959,146408,-115.19999694824219
1786918226.2205248,148976,-114.4000015258789
1786918234.3159227,151432,-112.80000305175781
1786918243.7620192,154056,-107.4000015258789
1786918251.7607687,156736,-109.69999694824219
1786918260.886914,159264,-110.69999694824219
1786918270.4928079,161880,-103.69999694824219
1786918280.4569685,164368,-98.5
1786918289.7006154,167176,-103.0
1786918297.5169525,169752,-106.80000305175781
1786918305.7374349,172360,-105.5999984741211
1786918313.0829353,174952,-107.0
1786918320.8828754,177376,-96.5999984741211
1786918329.0909288,180000,-96.0999984741211
1786918338.1587842,182504,-96.19999694824219
1786918346.5955727,185160,-97.19999694824219
1786918353.811647,187776,-105.19999694824219
1786918361.006053,190216,-98.5
1786918369.8602633,192672,-106.19999694824219
1786918378.296754,195280,-104.9000015258789
1786918386.7102,197784,-138.10000610351562
